# Composition Space Data (Bandgap + Voltage)
# Generated: 2025-12-14 01:02:29
# Mode: simulated
# Light intensity: 1.0 (1.0 = full sun)
# 
# Columns:
#   x_Se               - Selenium composition
#   Eg_eV              - Bandgap energy (eV)
#   Voc_V              - Open-circuit voltage (V)
#   Voc_noise_lower_V  - Voltage - 10 mV (noise band)
#   Voc_noise_upper_V  - Voltage + 10 mV (noise band)
#   Eg_TiO2            - Reference TiO2 bandgap
#   optimal_region     - True if x_Se < 0.1
# 
x_Se,Eg_eV,Voc_V,Voc_noise_lower_V,Voc_noise_upper_V,Eg_TiO2,optimal_region
0.000000,3.680000,0.835000,0.825000,0.845000,3.200000,True
0.020408,3.650004,0.842127,0.832127,0.852127,3.200000,True
0.040816,3.620425,0.833184,0.823184,0.843184,3.200000,True
0.061224,3.591262,0.842081,0.832081,0.852081,3.200000,True
0.081633,3.562516,0.825546,0.815546,0.835546,3.200000,True
0.102041,3.534186,0.816254,0.806254,0.826254,3.200000,False
0.122449,3.506272,0.840846,0.830846,0.850846,3.200000,False
0.142857,3.478776,0.819807,0.809807,0.829807,3.200000,False
0.163265,3.451695,0.818678,0.808678,0.828678,3.200000,False
0.183673,3.425031,0.799756,0.789756,0.809756,3.200000,False
0.204082,3.398784,0.804623,0.794623,0.814623,3.200000,False
0.224490,3.372953,0.807301,0.797301,0.817301,3.200000,False
0.244898,3.347539,0.790870,0.780870,0.800870,3.200000,False
0.265306,3.322541,0.802387,0.792387,0.812387,3.200000,False
0.285714,3.297959,0.788936,0.778936,0.798936,3.200000,False
0.306122,3.273794,0.788401,0.778401,0.798401,3.200000,False
0.326531,3.250046,0.781739,0.771739,0.791739,3.200000,False
0.346939,3.226714,0.802779,0.792779,0.812779,3.200000,False
0.367347,3.203798,0.780684,0.770684,0.790684,3.200000,False
0.387755,3.181299,0.766867,0.756867,0.776867,3.200000,False
0.408163,3.159217,0.782357,0.772357,0.792357,3.200000,False
0.428571,3.137551,0.758673,0.748673,0.768673,3.200000,False
0.448980,3.116302,0.769783,0.759783,0.779783,3.200000,False
0.469388,3.095469,0.744972,0.734972,0.754972,3.200000,False
0.489796,3.075052,0.748225,0.738225,0.758225,3.200000,False
0.510204,3.055052,0.760475,0.750475,0.770475,3.200000,False
0.530612,3.035469,0.762954,0.752954,0.772954,3.200000,False
0.551020,3.016302,0.754408,0.744408,0.764408,3.200000,False
0.571429,2.997551,0.748725,0.738725,0.758725,3.200000,False
0.591837,2.979217,0.744120,0.734120,0.754120,3.200000,False
0.612245,2.961299,0.729658,0.719658,0.739658,3.200000,False
0.632653,2.943798,0.734620,0.724620,0.744620,3.200000,False
0.653061,2.926714,0.734649,0.724649,0.744649,3.200000,False
0.673469,2.910046,0.747327,0.737327,0.757327,3.200000,False
0.693878,2.893794,0.737754,0.727754,0.747754,3.200000,False
0.714286,2.877959,0.714312,0.704312,0.724312,3.200000,False
0.734694,2.862541,0.732871,0.722871,0.742871,3.200000,False
0.755102,2.847539,0.723529,0.713529,0.733529,3.200000,False
0.775510,2.832953,0.718422,0.708422,0.728422,3.200000,False
0.795918,2.818784,0.729183,0.719183,0.739183,3.200000,False
0.816327,2.805031,0.731313,0.721313,0.741313,3.200000,False
0.836735,2.791695,0.728316,0.718316,0.738316,3.200000,False
0.857143,2.778776,0.708673,0.698673,0.718673,3.200000,False
0.877551,2.766272,0.712097,0.702097,0.722097,3.200000,False
0.897959,2.754186,0.716689,0.706689,0.726689,3.200000,False
0.918367,2.742516,0.721382,0.711382,0.731382,3.200000,False
0.938776,2.731262,0.705146,0.695146,0.715146,3.200000,False
0.959184,2.720425,0.706456,0.696456,0.716456,3.200000,False
0.979592,2.710004,0.695686,0.685686,0.705686,3.200000,False
1.000000,2.700000,0.693287,0.683287,0.703287,3.200000,False
