# Vegard's Law Bandgap Data
# Generated: 2025-12-14 01:02:29
# 
# Material: ZnS(1-x)Se(x)
# Eg_ZnS = 3.68 eV
# Eg_ZnSe = 2.70 eV
# Bowing parameter b = 0.50 eV
# 
# Equation: Eg(x) = (1-x)*Eg_ZnS + x*Eg_ZnSe - b*x*(1-x)
# 
# Columns:
#   x_Se    - Selenium composition (0=ZnS, 1=ZnSe)
#   Eg_eV   - Bandgap energy (eV)
#   Eg_TiO2 - Reference TiO2 bandgap (3.2 eV)
# 
x_Se,Eg_eV,Eg_TiO2
0.000000,3.680000,3.200000
0.010101,3.665102,3.200000
0.020202,3.650305,3.200000
0.030303,3.635611,3.200000
0.040404,3.621018,3.200000
0.050505,3.606528,3.200000
0.060606,3.592140,3.200000
0.070707,3.577853,3.200000
0.080808,3.563669,3.200000
0.090909,3.549587,3.200000
0.101010,3.535607,3.200000
0.111111,3.521728,3.200000
0.121212,3.507952,3.200000
0.131313,3.494278,3.200000
0.141414,3.480706,3.200000
0.151515,3.467236,3.200000
0.161616,3.453868,3.200000
0.171717,3.440602,3.200000
0.181818,3.427438,3.200000
0.191919,3.414376,3.200000
0.202020,3.401416,3.200000
0.212121,3.388558,3.200000
0.222222,3.375802,3.200000
0.232323,3.363149,3.200000
0.242424,3.350597,3.200000
0.252525,3.338147,3.200000
0.262626,3.325799,3.200000
0.272727,3.313554,3.200000
0.282828,3.301410,3.200000
0.292929,3.289368,3.200000
0.303030,3.277429,3.200000
0.313131,3.265591,3.200000
0.323232,3.253856,3.200000
0.333333,3.242222,3.200000
0.343434,3.230691,3.200000
0.353535,3.219261,3.200000
0.363636,3.207934,3.200000
0.373737,3.196708,3.200000
0.383838,3.185585,3.200000
0.393939,3.174564,3.200000
0.404040,3.163645,3.200000
0.414141,3.152827,3.200000
0.424242,3.142112,3.200000
0.434343,3.131499,3.200000
0.444444,3.120988,3.200000
0.454545,3.110579,3.200000
0.464646,3.100271,3.200000
0.474747,3.090066,3.200000
0.484848,3.079963,3.200000
0.494949,3.069962,3.200000
0.505051,3.060063,3.200000
0.515152,3.050266,3.200000
0.525253,3.040571,3.200000
0.535354,3.030978,3.200000
0.545455,3.021488,3.200000
0.555556,3.012099,3.200000
0.565657,3.002812,3.200000
0.575758,2.993627,3.200000
0.585859,2.984544,3.200000
0.595960,2.975564,3.200000
0.606061,2.966685,3.200000
0.616162,2.957908,3.200000
0.626263,2.949234,3.200000
0.636364,2.940661,3.200000
0.646465,2.932191,3.200000
0.656566,2.923822,3.200000
0.666667,2.915556,3.200000
0.676768,2.907391,3.200000
0.686869,2.899329,3.200000
0.696970,2.891368,3.200000
0.707071,2.883510,3.200000
0.717172,2.875753,3.200000
0.727273,2.868099,3.200000
0.737374,2.860547,3.200000
0.747475,2.853097,3.200000
0.757576,2.845748,3.200000
0.767677,2.838502,3.200000
0.777778,2.831358,3.200000
0.787879,2.824316,3.200000
0.797980,2.817376,3.200000
0.808081,2.810538,3.200000
0.818182,2.803802,3.200000
0.828283,2.797168,3.200000
0.838384,2.790636,3.200000
0.848485,2.784206,3.200000
0.858586,2.777878,3.200000
0.868687,2.771652,3.200000
0.878788,2.765528,3.200000
0.888889,2.759506,3.200000
0.898990,2.753586,3.200000
0.909091,2.747769,3.200000
0.919192,2.742053,3.200000
0.929293,2.736439,3.200000
0.939394,2.730927,3.200000
0.949495,2.725518,3.200000
0.959596,2.720210,3.200000
0.969697,2.715005,3.200000
0.979798,2.709901,3.200000
0.989899,2.704900,3.200000
1.000000,2.700000,3.200000
